Dish,Origin
Chow mein,Chinese
Noodle soup,Chinese
Zhajiangmian,Chinese
Lamian,Chinese
Liangpi,Chinese
Lo mein,Chinese
Biangbiang noodles,Chinese
Sliced Noodles,Chinese
Chongqing noodles,Chinese
Shacha noodles,Chinese
Noodles with tomato egg sauce,Chinese
White rice,Chinese
Fried Rice,Chinese
Braised pork belly,Chinese
Braised pork,Chinese
Sweet and sour pork,Chinese
Twice cooked pork,Chinese
Char siu,Chinese
Century egg,Chinese
Kung Pao chicken,Chinese
Peking Duck,Chinese
Soy egg,Chinese
Tea egg,Chinese
Fujian red wine chicken,Chinese
Stir-fried tomato and scrambled eggs,Chinese
Buddha's delight,Chinese
Pickled vegetables,Chinese
Double steaming / double boiling,Chinese
Red cooking,Chinese
Stir frying,Chinese
Dumplings,Chinese
English,Chinese
Baozi,Chinese
Dim sum,Chinese
Potsticker,Chinese
Jiaozi,Chinese
Mantou,Chinese
Wonton,Chinese
Xiaolongbao,Chinese
Zongzi,Chinese
Tangyuan,Chinese
Cha siu bao,Chinese
Scallion pancake,Chinese
Mooncake,Chinese
Sachima,Chinese
Shaobing,Chinese
Youtiao,Chinese
Congee,Chinese
Hot and sour soup,Chinese
Hot pot,Chinese
Tong sui,Chinese
Bang Tofu,Chinese
Bright Pearl Abalone,Chinese
Caterpillar Fungus Duck,Chinese
Crab and Fish Stomachs,Chinese
Crab-apple Flower Cake,Chinese
Dried Pot Tofu,Chinese
Five Colours Fish Cake,Chinese
Flower Mushroom Frog,Chinese
Steamed Pumpkin Dumplings,Chinese
Fried Tofu Curd Balls,Chinese
Fuli Roast Chicken,Chinese
Ginger Duck,Chinese
Hay Wrapped Fragrant Ribs,Chinese
Jade Rabbit Sea Cucumber,Chinese
Lotus Seed Pod Fish,Chinese
Phoenix Tail Shrimp,Chinese
Potato Croquet,Chinese
Silver Fish Fried Egg,Chinese
Soy Braised Mandarin Fish,Chinese
Peking Duck,Chinese
Zhajiangmian,Chinese
Xianbing,Chinese
Crullers,Chinese
Braised abalone,Chinese
Shaved ice,Chinese
Beef chow fun,Chinese
Bird's nest soup,Chinese
Black sesame soup,Chinese
Cantonese seafood soup,Chinese
Char siu,Chinese
Crispy fried chicken,Chinese
Duck with taro,Chinese
Guilinggao,Chinese
Little pan rice,Chinese
Red bean soup,Chinese
Roast squab,Chinese
Roast suckling pig,Chinese
Sea cucumber,Chinese
Seafood with bird's nest,Chinese
Shark fin soup,Chinese
Snow fungus soup,Chinese
Sour spare ribs,Chinese
Spare ribs soup with watercress and apricot kernels,Chinese
White cut chicken,Chinese
Winter melon soup,Chinese
Wonton noodles,Chinese
Yeung Chow fried rice,Chinese
Youtiao,Chinese
Zhaliang,Chinese
Yusheng,Chinese
Popiah,Chinese
Buddha jumps over the wall,Chinese
Fried rice in Fujian style,Chinese
Oyster omelette,Chinese
Popiah,Chinese
Yanpi,Chinese
Luosifen,Chinese
Ningmeng ya,Chinese
Hainanese chicken rice,Chinese
Wenchang chicken,Chinese
Hakka,Chinese
Meigan vegetable,Chinese
Stuffed bitter melon,Chinese
Stuffed tofu,Chinese
Changsha stinky tofu,Chinese
Xiangxi bacon,Chinese
Xiangxi rice tofu,Chinese
Hot dry noodles,Chinese
Chongqing spicy deep-fried chicken,Chinese
Dandan noodles,Chinese
Fuqi Feipian,Chinese
Sichuan hotpot,Chinese
Kung Pao chicken,Chinese
Mapo tofu,Chinese
Shuizhu,Chinese
Twice cooked pork,Chinese
Zhangcha duck,Chinese
Crossing the bridge noodles,Chinese
Beggar's Chicken,Chinese
Braised Sliced Pork with Preserved Vegetables,Chinese
Cold Chicken Cooked in Wine,Chinese
Dongpo Braised Pork,Chinese
Fish Ball in Light Soup,Chinese
Fried Eel Slices,Chinese
Fried Pigeon with Spiced Salt,Chinese
Fried Shrimps with Longjing Tea,Chinese
Fried Stuffed Bean Curd Paste,Chinese
Fried Sweet and Sour Pork,Chinese
Hangzhou-Style Duck Pickled in Soy Sauce,Chinese
Old Duck Stewed with Bamboo Root & Ham,Chinese
Red-Stewed Duck,Chinese
Sauteed Broad Beans with Ham,Chinese
Sauteed Shrimps,Chinese
Sizzling Rice in Tomato Sauce,Chinese
Steamed Pork with Rice Flour in Lotus Leaf,Chinese
Stewed Spring Bamboo Shoots,Chinese
Stir-Fried Spring Chicken with Chestnuts,Chinese
West Lake Fish in Vinegar Sauce,Chinese
Gohan,Japanese
Curry rice,Japanese
meshi,Japanese
Chāhan ,Japanese
yakimeshi,Japanese
Genmai gohan ,Japanese
Hayashi rice ,Japanese
Kamameshi ,Japanese
Katemeshi,Japanese
Mochi,Japanese
Mugi gohan,Japanese
Mugi meshi,Japanese
Ochazuke,Japanese
Okowa,Japanese
Omurice,Japanese
Onigiri,Japanese
Sekihan,Japanese
Takikomi gohan,Japanese
Tamago kake gohan ,Japanese
Tenmusu,Japanese
Chāhan,Japanese
Chazuke,Japanese
Sekihan,Japanese
Omurice,Japanese
Okowa,Japanese
Tenmusu,Japanese
Nanakusa-gayu,Japanese
Okayu ,Japanese
Zosui ,Japanese
Ojiya,Japanese
Nanakusa-gayu,Japanese
Rice bowls,Japanese
donburi ,Japanese
Gyūdon,Japanese
Katsudon ,Japanese
Oyakodon,Japanese
Tekkadon,Japanese
Tendon,Japanese
Unadon,Japanese
Wappameshi,Japanese
Katsudon,Japanese
Oyakodon,Japanese
Tendon,Japanese
Unadon,Japanese
Sushi,Japanese
sushi platter,Japanese
Nigirizushi ,Japanese
Makizushi,Japanese
Temaki ,Japanese
Temakizushi,Japanese
Chirashizushi  ,Japanese
Bara-zushi,Japanese
Inarizushi,Japanese
Oshizushi ,Japanese
Meharizushi,Japanese
Noodles,Japanese
Kamo nanban,Japanese
Soba,Japanese
Zaru soba ,Japanese
Udon,Japanese
Miso-nikomi-Udon,Japanese
Sōmen,Japanese
Ramen,Japanese
Champon ,Japanese
Hiyashi chūka,Japanese
Mazesoba ,Japanese
Okinawa soba ,Japanese
Yaki soba ,Japanese
Yaki udon ,Japanese
Bread,Japanese
Curry bread ,Japanese
Anpan ,Japanese
Yakisoba-pan ,Japanese
Korokke-pan ,Japanese
Melon-pan ,Japanese
Katsu-sando ,Japanese
Breaded cutlet-sandwich,Japanese
Curry bread,Japanese
Melonpan,Japanese
Okazu,Japanese
Deep-fried dishes,Japanese
Agemono ,Japanese
Karaage,Japanese
Nanbanzuke,Japanese
Korokke,Japanese
croquette,Japanese
Kushikatsu,Japanese
Satsuma-age ,Japanese
Tempura,Japanese
Kakiage,Japanese
Tonkatsu ,Japanese
Agedashi dōfu ,Japanese
Ebi tempura,Japanese
Tonkatsu,Japanese
Grilled and pan-fried dishes,Japanese
yakimono,Japanese
Yakizakana,Japanese
beef teriyaki ,Japanese
Yakimono,Japanese
Gyoza,Japanese
Kushiyaki ,Japanese
Motoyaki,Japanese
Okonomiyaki ,Japanese
Takoyaki ,Japanese
Teriyaki,Japanese
Unagi ,Japanese
Kabayaki,Japanese
Yakiniku,Japanese
Horumonyaki,Japanese
Jingisukan,Japanese
Yakitori,Japanese
Yakizakana ,Japanese
Takoyaki,Japanese
Nabemono,Japanese
Nabemono ,Japanese
Motsunabe ,Japanese
Shabu-shabu,Japanese
Sukiyaki,Japanese
Chirinabe,Japanese
Tetchiri,Japanese
Chigenabe  ,Japanese
Kimuchinabe,Japanese
Imoni,Japanese
Kiritanponabe,Japanese
Chankonabe ,Japanese
Sukiyaki,Japanese
Kiritanpo,Japanese
Nimono,Japanese
stewed dish,Japanese
Oden,Japanese
Kakuni,Japanese
Nikujaga ,Japanese
Nizakana,Japanese
Sōki ,Japanese
Itamemono,Japanese
stir-fried dish,Japanese
Kinpira gobo,Japanese
Chanpurū ,Japanese
Kinpira gobo ,Japanese
Sashimi,Japanese
Bonito tataki,Japanese
Katsuo no Tataki,Japanese
Fugu,Japanese
Ikizukuri ,Japanese
Tataki ,Japanese
Basashi ,Japanese
Torisashi,Japanese
Rebasashi ,Japanese
aburi,Japanese
suimono ,Japanese
shirumono,Japanese
Miso soup ,Japanese
Tonjiru,Japanese
Dangojiru ,Japanese
Sumashijiru,Japanese
osumashi,Japanese
Zōni ,Japanese
Miso soup,Japanese
Pickled food,Japanese
salted food,Japanese
tsukemono,Japanese
Karashimentaiko ,Japanese
Ikura ,Japanese
Tarako,Japanese
Mentaiko ,Japanese
Shiokara ,Japanese
Tsukemono,Japanese
Umeboshi,Japanese
Tsukudani,Japanese
Sunomono,Japanese
Umeboshi,Japanese
Side dishes,Japanese
Ohitashi,Japanese
Obento,Japanese
Bento ,Japanese
Chawan mushi ,Japanese
Edamame ,Japanese
Himono,Japanese
Hiyayakko,Japanese
Nattō ,Japanese
Ohitashi,Japanese
Osechi ,Japanese
Japanese salad dressings,Japanese
Wafu dressing,Japanese
Sanbaizu,Japanese
Shimotsukare ,Japanese
Chinmi,Japanese
Ankimo,Japanese
Karasumi,Japanese
Konowata ,Japanese
Mozuku ,Japanese
Uni ,Japanese
Okashi,Japanese
Japanese-style sweets,Japanese
Wagashi,Japanese
Oyatsu,Japanese
Higashi,Japanese
Amanattō,Japanese
Dango,Japanese
Hanabiramochi,Japanese
Higashi,Japanese
Hoshigaki,Japanese
Imagawayaki,Japanese
Kakigōri,Japanese
Kompeito,Japanese
Manjū,Japanese
Matsunoyuki,Japanese
Mochi,Japanese
Oshiruko,Japanese
Uirō,Japanese
Taiyaki,Japanese
Namagashi,Japanese
Old-fashioned Japanese-style sweets,Japanese
Dagashi,Japanese
Karume-yaki,Japanese
Sōsu senbei,Japanese
Mizuame,Japanese
Western-style sweets,Japanese
Yōgashi ,Japanese
Kasutera,Japanese
Mirukurepu,Japanese
Sweets bread,Japanese
Kashi pan,Japanese
Anpan,Japanese
Melonpan,Japanese
Peanut amanattō,Japanese
Anpan,Japanese
Castella,Japanese
Mizuame,Japanese
Umaibō,Japanese
Azuki Ice,Japanese
Koara no māchi,Japanese
Umai Bō,Japanese
Pocky,Japanese
Chok,Thai
Khao kan chin,Thai
Khao kha mu,Thai
Khao khai chiao,Thai
Khao khluk kapi,Thai
Khao mok gai,Thai
Khao mok nuea,Thai
Khao man gai,Thai
Khao mu krop,Thai
Khao mu krop mu daeng,Thai
Khao na pet,Thai
Khao niao,Thai
Khao nuea op,Thai
Khao phat,Thai
Khao phat amerikan,Thai
Khao phat kaeng khiao wan,Thai
Khao phat kaphrao mu,Thai
Khao phat namliap,Thai
Khao phat nam phrik long ruea,Thai
Khao phat nam phrik narok,Thai
Khao tom,Thai
Khao tom kui,Thai
Bami haeng pet,Thai
Bami mu daeng,Thai
Khanom chin kaeng khiao wan kai,Thai
Khanom chin nam ngiao,Thai
Khanom jeen nam yaa,Thai
Khanom chin sao nam,Thai
Khao soi Chang Mai,Thai
Khao soi Mae Sai,Thai
Khao soi nam na,Thai
Kuaichap,Thai
Kuai-tiao nam,Thai
Kuai-tiao nuea pueai,Thai
Kuai-tiao phat khi mao,Thai
Kuai-tiao rat na,Thai
Kuai-tiao ruea,Thai
Mi krop,Thai
Phat Mama,Thai
Phat si-io,Thai
Phat Thai,Thai
Phat wun sen,Thai
Sapaketti phat khi mao,Thai
Tom yam boran,Thai
Yentafo,Thai
Yum kanom jeen,Thai
Chim chum,Thai
Kaolao,Thai
Khao soi noi songkhrueang,Thai
Mu kratha,Thai
Nam phrik kapi kap pla thu thot,Thai
Pathongko,Thai
Suki,Thai
Curry,Thai
Chin hum,Thai
Chuchi pla kaphong,Thai
Chuchi pla thu sot,Thai
Kaeng cha-om,Thai
Kaeng fak sai kai,Thai
Kaeng dok salae,Thai
Kaeng hangle,Thai
Kaeng het,Thai
Kaeng ho,Thai
Kaeng kari,Thai
Kaeng khae,Thai
Kaeng khanun,Thai
Kaeng khiao wan,Thai
Kaeng khilek,Thai
Kaeng khua,Thai
Kaeng khua mu bai chamuang,Thai
Kaeng kradang,Thai
Kaeng lueang,Thai
Kaeng matsaman,Thai
Kaeng om,Thai
Kaeng pa,Thai
Kaeng phak bung sai pla,Thai
Kaeng phak kat cho kraduk mu,Thai
Kaeng phak lueat,Thai
Kaeng phak siangda,Thai
Kaeng phak wan pa,Thai
Kaeng phanaeng,Thai
Kaeng phet,Thai
Kaeng phet pet yang,Thai
Kaeng pli,Thai
Kaeng som,Thai
Kaeng tai pla,Thai
Kaeng thepho,Thai
Kaeng tun,Thai
Kaeng yot maphrao on sai kai,Thai
Kaeng yuak,Thai
Khua kling,Thai
Khua kraduk,Thai
Yam chin kai,Thai
Kaeng ranchuan,Thai
Kai tun ya chin,Thai
Nam sup,Thai
Tom chuet,Thai
Tom kha kai,Thai
Tom khlong,Thai
Tom mara,Thai
Tom phak kat dong mu,Thai
Tom saep,Thai
Tom som kraduk mu,Thai
Tom yam,Thai
Tom yuea phai,Thai
See also: Thai salads,Thai
Khao yam,Thai
Koi pla,Thai
Kung chae nampla,Thai
Kung ten,Thai
Lap Isan,Thai
Lap nuea,Thai
Lap nuea dip,Thai
Mu nam tok,Thai
Naem khluk,Thai
Nuea yang nam tok,Thai
Phla kung,Thai
Phla mu,Thai
Phla nuea makhuea on,Thai
Sa nuea,Thai
Sa nuea sadung,Thai
Som tam khai khem,Thai
Som tam pu,Thai
Som tam,Thai
Tam khanun,Thai
Tam maak hoong,Thai
Tam makhuea,Thai
Tam mamuang,Thai
Tam maphrao on sen mi krop,Thai
Tam mu yo,Thai
Tam phonlamai ruam,Thai
Tam som-o nam pu,Thai
Yam bai cha,Thai
Yam hu mu,Thai
Yam hua pli thot,Thai
Yam hoi khraeng,Thai
Yam khai dao,Thai
Yam khamin khao kung,Thai
Yam kun chiang,Thai
Yam mu krop,Thai
Yam mu yo,Thai
Yam mu yo thot khai dao,Thai
Yam naem sot,Thai
Yam naem khao khot,Thai
Yam no mai,Thai
Yam no mai sai nam pu,Thai
Yam nuea yang,Thai
Yam phak khut,Thai
Yam pla duk fu,Thai
Yam pla khem,Thai
Yam pla salit,Thai
Yam pla thu,Thai
Yam sanat,Thai
Yam som-o,Thai
Yam takhrai kung sot,Thai
Yam thale,Thai
Yam thua phu,Thai
Yam wun sen,Thai
Kai phat khing,Thai
Kai phat met mamuang himmaphan,Thai
Khai yat sai,Thai
Khua chin som sai khai,Thai
Khua ho,Thai
Khua no mai sai mu,Thai
Kaphrao hoi lai,Thai
Khai luk khoei,Thai
Kung thot krathiam phrik Thai,Thai
Mu krop phat kaphrao,Thai
Mu phat sato,Thai
Mu phat sato phak Tai,Thai
Mu wan,Thai
No mai farang phat kung,Thai
Nuea phat bai yira,Thai
Pak boong fai daeng,Thai
Phak khana nam man hoi,Thai
Phat buap,Thai
Phat dok hom,Thai
Phat khana mu krop,Thai
Phat khanaeng mu,Thai
Phat kaphrao,Thai
Phat naem sai khai,Thai
Phat no mai sai khai,Thai
Phat phak khom,Thai
Phat phak ruam,Thai
Phat phrik khing,Thai
Phat yot fak maeo,Thai
Phunim phat phong kari,Thai
Pla duk phat phet,Thai
Pla kaphong phat khuen chai,Thai
Pla muek phat phrik phao,Thai
Tap kai phat phrik sot,Thai
Thua ngok pla khem,Thai
Kai ho bai toei,Thai
Kai thot takhrai,Thai
Kai thot,Thai
Khaep mu,Thai
Mu krop,Thai
Mu thot krathiam,Thai
Nang kai thot,Thai
No yat sai thot,Thai
Pik kai sot sai thot,Thai
Pla buang,Thai
Pla krai thot krathiam,Thai
Pla nin thot samun phrai,Thai
Pla sam rot,Thai
Pla thot,Thai
Pla thot khamin,Thai
Pla wong thot,Thai
Pu cha,Thai
Sai mu thot,Thai
Si khrong mu thot,Thai
Aep mu,Thai
Aep ong-o,Thai
Aep pla noi,Thai
Chin som mok,Thai
Kai yang,Thai
Kho mu yang kratha ron,Thai
Kung yang/kung phao,Thai
Mu manao,Thai
Mu yang,Thai
Nuea ping,Thai
Nuea thup,Thai
Pam khai mot,Thai
Paeng nom yang nuea,Thai
Pla ping top,Thai
Sai krok Isan,Thai
Sai mu ping,Thai
Sai ua,Thai
Suea rong hai,Thai
Yang ruam mu,Thai
Bai po,Thai
Ho mok pla,Thai
Ho mok maphrao on,Thai
Pla nueng manao,Thai
Khai phalo,Thai
Nam chim chaeo,Thai
Nam chim kai,Thai
Nam chim paesa,Thai
Nam chim sate,Thai
Nam phrik i-ke,Thai
Nam phrik kapi,Thai
Nam phrik kha,Thai
Nam phrik khaep mu,Thai
Nam phrik long ruea,Thai
Nam phrik num,Thai
Nam phrik ong,Thai
Nam phrik phao,Thai
Nam phrik pla chi,Thai
Phrik nam pla,Thai
Pu ong,Thai
Sot Si Racha,Thai
Khai dao,Thai
Khai chiao khai mot daeng,Thai
Mu ruam luak chim,Thai
Pla sam thap,Thai
Roti thitchu,Thai
Chingrit thot,Thai
Kai rom khwan,Thai
Karipap,Thai
Khaep mu,Thai
Khanom chip,Thai
Khanom kuichai,Thai
Khanom Tokyo,Thai
Khao phan nga muan,Thai
Khao phan phak,Thai
Luk chin ping,Thai
Mamuang nam pla wan,Thai
Miang kham,Thai
Miang pla,Thai
Mu daet diao,Thai
Nuea daet diao kaphrao thot,Thai
Nuea khem thot,Thai
Pla muek yang,Thai
Sate,Thai
Thot man khaophot,Thai
Thot man pla,Thai
Thot man pu,Thai
Thot man kung,Thai
Tod Mun Hua Plee,Thai
Thung thong,Thai
Tua mai thot,Thai
La tiang,Thai
Chao guay,Thai
Dara thong,Thai
Foi thong,Thai
Khanom bua loi,Thai
Khanom chan,Thai
Khanom farang kudi chin,Thai
Khanom khrok,Thai
Khanom mo kaeng,Thai
Khanom piak pun,Thai
Khanom tako,Thai
Khanom tako phueak,Thai
Khanom tan,Thai
Khanom thuai talai,Thai
Khanom tom,Thai
Khanom tom,Thai
Khanom wun,Thai
Khao niao mamuang,Thai
Khao niao sangkhaya,Thai
Khao tom mat,Thai
Kluai thot,Thai
Kraya sat,Thai
Lot chong nam kathi,Thai
Mamuang dong,Thai
Roti kluai,Thai
Roti sai mai,Thai
Ruam mit,Thai
Sangkhaya fak thong,Thai
Sakhu thua dam,Thai
That khai,Thai
Sakhu sai mu,Thai
Thong yip,Thai
Cha dam yen,Thai
Cha manao,Thai
Cha ron,Thai
Nam wan,Thai
Cha yen,Thai
Kafae boran,Thai
Krating Daeng,Thai
Lao Khao,Thai
Lao Mae Khong,Thai
Nam bai bua bok,Thai
Nam dok anchan,Thai
Nam manao,Thai
Nam phan,Thai
Nam takhrai,Thai
Nom yen,Thai
Oliang,Thai
Saeng som,Thai
Satho,Thai
Gujeolpan ,Korean
Sinseollo ,Korean
Grilled dishes,Korean
Bulgogi,Korean
Bulgogi ,Korean
Galbi ,Korean
Dak galbi ,Korean
Samgyeopsal ,Korean
Makchang gui ,Korean
Gobchang gui ,Korean
Saengseon gui,Korean
Seokhwa gui or jogae gui ,Korean
Deodeok gui,Korean
Beoseot gui,Korean
Gim gui or guun gim ,Korean
Galbijjim ,Korean
Andong jjimdak ,Korean
Agujjim ,Korean
Jeonbokjjim,Korean
Gyeran jjim ,Korean
Oiseon,Korean
Hobakjeon,Korean
Dubujeon,Korean
Sannakji ,Korean
Yukhoe ,Korean
Sukhoe ,Korean
Ganghoe ,Korean
Bulgogi ,Korean
Dak galbi ,Korean
Galbi ,Korean
Samgyeopsal ,Korean
Makchang ,Korean
Gobchang ,Korean
Bossam ,Korean
Yukgaejang ,Korean
Hoe ,Korean
Sannakji ,Korean
Saengchae ,Korean
Oisaengchae,Korean
Doraji saengchae,Korean
Sukchae,Korean
Kongnamul ,Korean
Japchae ,Korean
Guk ,Korean
Tteokguk ,Korean
Haejangguk ,Korean
Miyeok guk ,Korean
Manduguk,Korean
Tang ,Korean
Galbitang,Korean
Oritang,Korean
Samgyetang ,Korean
Seolleongtang ,Korean
Maeuntang ,Korean
Gamjatang ,Korean
Daktoritang ,Korean
Chueotang ,Korean
Bosintang ,Korean
Jjigae ,Korean
Doenjang jjigae,Korean
Cheonggukjang jjigae,Korean
Gochujang jjigae,Korean
Kimchi jjigae ,Korean
Kongbiji jjigae,Korean
Sundubu jjigae ,Korean
Saeujeot jjigae,Korean
Budae jjigae ,Korean
Saengseon jjigae,Korean
Jeongol ,Korean
Bibimbap ,Korean
Boribap ,Korean
Nurungji ,Korean
Ogokbap ,Korean
Kimchi bokkeumbap,Korean
Banchan,Korean
Kimchi ,Korean
Ggakdugi,Korean
Baek kimchi,Korean
Mulkimchi,Korean
Nabak kimchi,Korean
Dongchimi,Korean
Pakimchi,Korean
Buchukimchi,Korean
Oisobakki,Korean
Kkaetnip kimchi,Korean
Chonggak kimchi,Korean
Namul,Korean
Kongnamul ,Korean
Chwinamul ,Korean
Shigeunchi ,Korean
Kohsarii ,Korean
Hobaknamul ,Korean
Kongjaban ,Korean
Dureubnamul ,Korean
Ggaennip ,Korean
Sanmaneul ,Korean
Mul Naengmyeon with Mandu,Korean
Naengmyeon ,Korean
Japchae ,Korean
Jajangmyeon ,Korean
Kalguksu ,Korean
Sujebi ,Korean
Makguksu ,Korean
Jaengban guksu,Korean
